3,12.63,1.51,2.25,21,104,1.52,.57,.54,1.35,7.8,.59,1.57,655
3,13.25,5.10,2.40,23,95,1.78,.62,.59,1.50,8.0,.61,1.52,710
3,13.90,4.05,2.42,20,87,1.82,.81,.50,1.52,8.8,.55,1.60,495
3,12.51,3.10,2.70,26,99,1.85,.60,.62,1.10,7.4,.65,1.70,870
3,14.25,1.75,2.68,24,97,2.75,1.28,.55,2.65,12.5,.58,1.90,670
3,13.55,1.72,2.60,23,90,2.55,1.12,.51,2.20,11.5,.56,1.76,615
3,12.41,3.80,2.35,22,89,2.25,.89,.49,1.00,7.7,.54,1.55,530
3,13.60,3.30,2.50,21,105,1.80,.55,.49,.85,6.0,.94,1.80,690
3,12.90,3.25,2.55,23,107,1.62,.59,.58,1.00,5.6,.85,2.10,580
3,13.05,3.50,2.33,19,108,1.35,.68,.42,.90,5.1,.66,1.70,665
3,13.70,2.70,2.28,23,92,1.32,.67,.40,1.00,9.2,.68,1.66,625
3,13.65,4.40,2.25,21,90,1.30,.46,.51,1.10,6.5,.76,1.73,530
3,13.50,3.65,2.55,24,110,1.68,.90,.44,1.40,10.5,.83,1.54,705
3,12.85,3.40,2.32,20,87,1.50,.65,.41,1.00,10.0,.70,1.73,675
3,13.65,2.55,2.65,25,103,1.58,.82,.38,1.50,8.5,.72,1.78,755
3,13.30,4.55,2.85,24,114,1.95,.94,.28,1.15,8.2,.65,1.88,640
3,12.35,3.05,2.30,18,94,1.28,.50,.41,.75,5.3,.64,1.80,515
3,12.70,2.35,2.25,20,88,1.35,.50,.47,.65,9.7,.55,1.60,480
3,14.05,2.55,2.45,21,90,1.65,.69,.45,1.20,9.5,.60,1.68,670
3,13.60,5.60,2.42,19,94,1.70,.60,.51,1.05,7.6,.62,1.72,730
3,13.35,3.85,2.45,22,100,1.75,.74,.44,1.35,7.1,.68,1.54,745
3,13.20,4.25,2.24,19,118,1.55,.67,.42,1.30,9.8,.58,1.55,825
3,13.10,2.55,2.35,21,118,1.60,.66,.52,1.40,8.9,.59,1.60,830
3,14.00,4.05,2.70,23,95,2.00,.75,.55,1.30,8.8,.60,1.58,570
3,13.40,3.20,2.50,22,101,1.68,.70,.50,1.25,8.1,.65,1.68,600
3,12.95,3.75,2.48,20,99,1.55,.65,.48,1.10,7.4,.66,1.60,540
3,13.80,2.85,2.55,24,100,1.78,.80,.42,1.35,8.7,.64,1.75,710
3,12.60,2.90,2.30,19,93,1.45,.55,.45,.85,6.5,.59,1.55,505
3,14.10,4.25,2.80,23,97,2.10,.82,.53,1.40,9.1,.63,1.85,675
3,13.15,3.60,2.40,22,105,1.65,.71,.46,1.20,7.2,.67,1.63,590
3,12.50,3.10,2.35,18,98,1.50,.60,.47,.90,6.8,.58,1.57,530
3,13.95,4.00,2.60,24,96,1.85,.79,.50,1.30,8.9,.64,1.77,700
3,12.75,2.85,2.38,21,102,1.55,.66,.48,1.05,7.0,.62,1.61,555
3,13.45,3.95,2.55,20,99,1.75,.73,.49,1.35,7.8,.69,1.70,640
3,13.05,3.30,2.45,22,100,1.60,.69,.50,1.25,8.0,.65,1.66,610
3,12.80,3.00,2.32,19,95,1.48,.63,.46,.95,6.9,.61,1.58,545
3,13.85,4.10,2.65,23,98,1.90,.77,.52,1.35,9.0,.66,1.78,690
3,12.55,3.20,2.28,18,97,1.42,.58,.44,.88,6.6,.60,1.53,520
3,14.00,3.90,2.75,25,100,2.05,.84,.54,1.45,9.3,.67,1.82,720
3,13.25,3.50,2.40,20,103,1.62,.68,.47,1.15,7.5,.64,1.62,580
3,12.65,3.15,2.30,21,94,1.46,.61,.45,.92,7.0,.59,1.56,540
3,13.75,4.05,2.60,22,99,1.82,.76,.51,1.32,8.6,.65,1.74,675
3,12.90,2.95,2.35,19,96,1.50,.64,.46,1.00,6.7,.63,1.59,550
3,13.55,3.70,2.52,21,101,1.68,.71,.48,1.28,7.9,.66,1.69,615
3,13.00,3.25,2.42,20,98,1.58,.67,.47,1.20,7.4,.64,1.64,570
