3,12.63,1.51,2.25,21,104,1.52,.57,.54,1.35,7.8,.59,1.57,655
3,13.25,5.10,2.40,23,95,1.78,.62,.59,1.50,8.0,.61,1.52,710
3,13.90,4.05,2.42,20,87,1.82,.81,.50,1.52,8.8,.55,1.60,495
3,12.51,3.10,2.70,26,99,1.85,.60,.62,1.10,7.4,.65,1.70,870
3,14.25,1.75,2.68,24,97,2.75,1.28,.55,2.65,12.5,.58,1.90,670
3,13.55,1.72,2.60,23,90,2.55,1.12,.51,2.20,11.5,.56,1.76,615
3,12.41,3.80,2.35,22,89,2.25,.89,.49,1.00,7.7,.54,1.55,530
3,13.60,3.30,2.50,21,105,1.80,.55,.49,.85,6.0,.94,1.80,690
3,12.90,3.25,2.55,23,107,1.62,.59,.58,1.00,5.6,.85,2.10,580
3,13.05,3.50,2.33,19,108,1.35,.68,.42,.90,5.1,.66,1.70,665
3,13.70,2.70,2.28,23,92,1.32,.67,.40,1.00,9.2,.68,1.66,625
3,13.65,4.40,2.25,21,90,1.30,.46,.51,1.10,6.5,.76,1.73,530
3,13.50,3.65,2.55,24,110,1.68,.90,.44,1.40,10.5,.83,1.54,70
